tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
FastViromeExplorer,88,0.0,804633133,224076,1.0,1.0,0.17091102272727274
PhageFilter,88,0.0,471106844,27104,1.0,0.9777777777777777,2.3636363636363638
Kraken2,88,0.0,65887840,27104,1.0,1.0,0.4090909090909091
BioBloomTools,88,0.0,581601756,500728,1.0,0.967032967032967,0.375
FastViromeExplorer,88,0.02,829371697,224080,1.0,1.0,0.29234272727272725
PhageFilter,88,0.02,490121602,27104,1.0,0.946236559139785,1.4886363636363635
Kraken2,88,0.02,56568114,27104,1.0,0.9887640449438202,0.48863636363636365
BioBloomTools,88,0.02,575380530,500728,1.0,0.946236559139785,0.4090909090909091
FastViromeExplorer,88,0.04,861185291,224084,0.9886363636363636,1.0,0.5322354022988506
PhageFilter,88,0.04,743302460,27104,1.0,0.9777777777777777,1.8068181818181819
Kraken2,88,0.04,56243790,27104,0.9886363636363636,1.0,0.632183908045977
BioBloomTools,88,0.04,561377098,500728,1.0,0.967032967032967,0.5795454545454546
FastViromeExplorer,88,0.06,834170123,224076,1.0,1.0,1.2933970421337044
PhageFilter,88,0.06,511195763,27104,0.9886363636363636,0.9775280898876404,1.6551724137931034
Kraken2,88,0.06,55549171,27104,0.9886363636363636,1.0,0.7701149425287356
BioBloomTools,88,0.06,553189175,500728,1.0,0.967032967032967,0.75
FastViromeExplorer,88,0.08,889590976,224076,0.9886363636363636,1.0,2.0088436405896553
PhageFilter,88,0.08,507761741,27104,0.9545454545454546,0.9882352941176471,1.75
Kraken2,88,0.08,65589400,27104,0.9772727272727273,1.0,1.4534883720930232
BioBloomTools,88,0.08,558817951,500728,1.0,0.9887640449438202,1.1363636363636365
FastViromeExplorer,88,0.1,905473201,224072,0.9318181818181818,0.9761904761904762,2.4756100419512195
PhageFilter,88,0.1,506713532,27104,0.8181818181818182,0.96,2.1805555555555554
Kraken2,88,0.1,56030910,27104,0.9545454545454546,0.9882352941176471,1.7619047619047619
BioBloomTools,88,0.1,544325227,500728,1.0,0.967032967032967,1.375
FastViromeExplorer,99,0.0,835792464,224152,1.0,1.0,0.16568292929292924
PhageFilter,99,0.0,504566351,27120,1.0,0.99,2.2525252525252526
Kraken2,99,0.0,82370927,27120,1.0,1.0,0.3939393939393939
BioBloomTools,99,0.0,578300642,500728,1.0,0.99,0.41414141414141414
FastViromeExplorer,99,0.02,822853028,224148,1.0,1.0,0.2570138383838384
PhageFilter,99,0.02,522728405,27120,1.0,1.0,2.323232323232323
Kraken2,99,0.02,65536698,27120,1.0,1.0,0.5151515151515151
BioBloomTools,99,0.02,577056825,500728,1.0,1.0,0.5959595959595959
FastViromeExplorer,99,0.04,806076432,224156,1.0,1.0,0.6239426262626262
PhageFilter,99,0.04,466541598,27120,0.9696969696969697,1.0,1.9270833333333333
Kraken2,99,0.04,53563295,27124,1.0,1.0,0.6060606060606061
BioBloomTools,99,0.04,556598926,500728,1.0,1.0,0.696969696969697
FastViromeExplorer,99,0.06,823443402,224156,1.0,1.0,1.1482980808080807
PhageFilter,99,0.06,518434423,27124,0.9696969696969697,1.0,1.53125
Kraken2,99,0.06,54188578,27124,1.0,1.0,0.8383838383838383
BioBloomTools,99,0.06,558891041,500732,1.0,1.0,0.8484848484848485
FastViromeExplorer,99,0.08,816597155,224156,1.0,1.0,1.7782809108080808
PhageFilter,99,0.08,489789053,27124,0.8080808080808081,0.9876543209876543,1.7625
Kraken2,99,0.08,53837974,27124,0.9797979797979798,1.0,1.175257731958763
BioBloomTools,99,0.08,562721748,500732,1.0,0.99,0.9595959595959596
FastViromeExplorer,99,0.1,825091147,224156,0.9595959595959596,1.0,2.5541540029473686
PhageFilter,99,0.1,525077606,27124,0.7777777777777778,1.0,1.974025974025974
Kraken2,99,0.1,55449011,27124,1.0,1.0,1.8888888888888888
BioBloomTools,99,0.1,564053927,500728,1.0,1.0,1.505050505050505
