kmer size, theta, error rate, number of genomes, read count, time, memory, recall, precision, avg read count error
20, 0.8, 0.01, 40, 10000, 30211844734, 746426368, 1.0, 0.8163265306122449, 182.1
20, 0.8, 0.01, 45, 10000, 32610688464, 746426368, 1.0, 0.7894736842105263, 147.24444444444444
20, 0.8, 0.05, 45, 10000, 28570247225, 746426368, 0.9111111111111111, 0.803921568627451, 204.82926829268294
20, 0.8, 0.01, 55, 10000, 29955076660, 746426368, 1.0, 0.873015873015873, 118.07272727272728
20, 0.8, 0.1, 50, 10000, 28273890318, 746426368, 0.4, 0.9090909090909091, 198.8
20, 0.8, 0.01, 35, 10000, 30188954624, 746426368, 1.0, 0.7, 205.42857142857142
20, 0.8, 0.0, 50, 10000, 31990400152, 746426368, 1.0, 0.8064516129032258, 61.88
20, 0.8, 0.05, 35, 10000, 29642060138, 746426368, 1.0, 0.7777777777777778, 263.45714285714286
20, 0.7, 0.05, 50, 10000, 39720635924, 746426368, 0.92, 0.8214285714285714, 154.5
20, 0.7, 0.0, 45, 10000, 39589616762, 746426368, 1.0, 0.8181818181818182, 157.0222222222222
20, 0.7, 0.0, 55, 10000, 36669210152, 746426368, 0.32727272727272727, 0.6923076923076923, 573.8888888888889
20, 0.7, 0.01, 50, 10000, 32651279340, 746426368, 1.0, 0.8333333333333334, 128.64
20, 0.7, 0.1, 45, 10000, 28646046502, 746426368, 0.8888888888888888, 0.8, 218.475
20, 0.7, 0.1, 55, 10000, 28723118059, 746426368, 0.6363636363636364, 0.8536585365853658, 177.0857142857143
20, 0.7, 0.05, 30, 10000, 28795119496, 746426368, 0.8775510204081632, 0.7962962962962963, 329.2093023255814
20, 0.7, 0.01, 30, 10000, 41082949663, 746426368, 0.4117647058823529, 0.75, 701.047619047619
20, 0.7, 0.01, 40, 10000, 32765836815, 746426368, 1.0, 0.8163265306122449, 211.35
20, 0.7, 0.01, 45, 10000, 33339785622, 746426368, 1.0, 0.7894736842105263, 106.31111111111112
20, 0.7, 0.05, 45, 10000, 29058238476, 746426368, 0.9555555555555556, 0.7962962962962963, 175.90697674418604
20, 0.7, 0.01, 55, 10000, 31022816382, 746426368, 0.9454545454545454, 0.8524590163934426, 147.65384615384616
20, 0.7, 0.1, 50, 10000, 28247751495, 746426368, 0.68, 0.7906976744186046, 197.11764705882354
20, 0.7, 0.01, 35, 10000, 30968307247, 746426368, 1.0, 0.6862745098039216, 130.97142857142856
20, 0.7, 0.0, 50, 10000, 30457901568, 746426368, 1.0, 0.7936507936507936, 89.04
20, 0.7, 0.05, 35, 10000, 28709808896, 746426368, 1.0, 0.7608695652173914, 228.8
20, 0.6, 0.05, 50, 10000, 28349170658, 746426368, 0.92, 0.8214285714285714, 125.8913043478261
20, 0.6, 0.0, 45, 10000, 31611832246, 746426368, 1.0, 0.8181818181818182, 192.57777777777778
20, 0.6, 0.0, 55, 10000, 31860899536, 746426368, 0.3090909090909091, 0.68, 717.4117647058823
20, 0.6, 0.01, 50, 10000, 30991762610, 746426368, 1.0, 0.8333333333333334, 154.04
20, 0.6, 0.1, 45, 10000, 28240196018, 746426368, 0.8666666666666667, 0.8125, 212.64102564102564
20, 0.6, 0.1, 55, 10000, 29165776335, 746426368, 0.6727272727272727, 0.8809523809523809, 171.64864864864865
20, 0.6, 0.05, 30, 10000, 33692053646, 746426368, 0.8367346938775511, 0.7884615384615384, 272.6585365853659
20, 0.6, 0.01, 30, 10000, 36542091555, 746426368, 0.37254901960784315, 0.7307692307692307, 1014.6315789473684
20, 0.6, 0.01, 40, 10000, 33586166041, 746426368, 1.0, 0.8163265306122449, 252.7
20, 0.6, 0.01, 45, 10000, 32411073358, 746426368, 1.0, 0.7894736842105263, 124.26666666666667
20, 0.6, 0.05, 45, 10000, 30296630191, 746426368, 1.0, 0.7894736842105263, 149.0222222222222
20, 0.6, 0.01, 55, 10000, 36097246816, 746426368, 0.43636363636363634, 0.7272727272727273, 364.75
20, 0.6, 0.1, 50, 10000, 30395363712, 746426368, 0.82, 0.8541666666666666, 193.34146341463415
20, 0.6, 0.01, 35, 10000, 32063127530, 746426368, 1.0, 0.6862745098039216, 136.5142857142857
20, 0.6, 0.0, 50, 10000, 32345316451, 746426368, 1.0, 0.7936507936507936, 103.16
20, 0.6, 0.05, 35, 10000, 30589008470, 746426368, 1.0, 0.7142857142857143, 193.8
20, 0.5, 0.05, 50, 10000, 29760138748, 746426368, 0.9, 0.8181818181818182, 92.86666666666666
20, 0.5, 0.0, 45, 10000, 31340186028, 746426368, 1.0, 0.8181818181818182, 233.95555555555555
20, 0.5, 0.0, 55, 10000, 31811021329, 746426368, 0.3090909090909091, 0.68, 883.2941176470588
20, 0.5, 0.01, 50, 10000, 40385637430, 746426368, 0.56, 0.7368421052631579, 326.64285714285717
20, 0.5, 0.1, 45, 10000, 40843751214, 746426368, 0.8888888888888888, 0.8163265306122449, 200.725
20, 0.5, 0.1, 55, 10000, 34352163725, 746426368, 0.6727272727272727, 0.8809523809523809, 160.05405405405406
20, 0.5, 0.05, 30, 10000, 33208259266, 746426368, 0.8163265306122449, 0.7843137254901961, 199.075
20, 0.5, 0.01, 30, 10000, 39344611242, 746426368, 0.37254901960784315, 0.7307692307692307, 1347.0526315789473
20, 0.5, 0.01, 40, 10000, 31600822284, 746426368, 1.0, 0.8163265306122449, 314.7
20, 0.5, 0.01, 45, 10000, 32176131359, 746426368, 1.0, 0.7894736842105263, 148.4
20, 0.5, 0.05, 45, 10000, 29282666910, 746426368, 1.0, 0.8035714285714286, 108.44444444444444
20, 0.5, 0.01, 55, 10000, 30794544064, 746426368, 0.4, 0.7096774193548387, 543.9090909090909
20, 0.5, 0.1, 50, 10000, 28598041981, 746426368, 0.96, 0.8135593220338984, 183.95833333333334
20, 0.5, 0.01, 35, 10000, 34458784195, 746426368, 1.0, 0.6862745098039216, 156.62857142857143
20, 0.5, 0.0, 50, 10000, 32673246470, 746426368, 1.0, 0.7936507936507936, 119.36
20, 0.5, 0.05, 35, 10000, 29860744198, 746426368, 1.0, 0.7142857142857143, 137.4857142857143
20, 0.4, 0.05, 50, 10000, 29437033552, 746426368, 0.74, 0.7872340425531915, 97.16216216216216
20, 0.4, 0.0, 45, 10000, 30876920208, 746426368, 0.28888888888888886, 0.5652173913043478, 913.3846153846154
20, 0.4, 0.0, 55, 10000, 31445009401, 746426368, 0.3090909090909091, 0.68, 1003.7647058823529
20, 0.4, 0.01, 50, 10000, 30786552457, 746426368, 0.36, 0.6428571428571429, 603.1111111111111
