kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
45,1.0,0.04,33,100000,4335514520,53708,1.0,0.9090909090909091,0.0485,1.0,4755.3
45,0.0,0.06,33,100000,28720397234,66528,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
45,0.2,0.06,33,100000,4577198670,51636,1.0,0.8333333333333334,0.22346,0.9995526927894077,3856.7
45,0.4,0.06,33,100000,4178709229,47852,1.0,0.8333333333333334,0.11356,0.9991201830019356,4432.1
45,0.6,0.06,33,100000,4598507446,50616,1.0,0.8333333333333334,0.05548,0.9989196975153043,4719.6
45,0.8,0.06,33,100000,4237147919,50192,1.0,0.9090909090909091,0.0239,1.0,4880.5
45,1.0,0.06,33,100000,4002932139,46192,1.0,1.0,0.0098,1.0,4950.6
45,0.0,0.08,33,100000,28765459277,69476,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
45,0.2,0.08,33,100000,3846123197,44532,1.0,0.9090909090909091,0.11454,1.0,4427.5
45,0.4,0.08,33,100000,4480881701,48268,1.0,0.9090909090909091,0.04804,0.9991680532445923,4740.4
45,0.6,0.08,33,100000,4156168215,50672,1.0,0.8333333333333334,0.018,1.0,4908.6
45,0.8,0.08,33,100000,3756336522,48488,1.0,1.0,0.00676,1.0,4966.2
45,1.0,0.08,33,100000,3638273506,47700,1.0,0.9090909090909091,0.00198,1.0,4990.1
45,0.0,0.1,33,100000,28067622210,67208,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
45,0.2,0.1,33,100000,4339759831,48616,1.0,0.8333333333333334,0.05578,0.9996415770609319,4712.7
45,0.4,0.1,33,100000,4293535252,48716,1.0,0.9090909090909091,0.02004,0.9990029910269193,4900.0
45,0.6,0.1,33,100000,4025245725,48896,1.0,0.8333333333333334,0.0063,1.0,4968.3
45,0.8,0.1,33,100000,3281643535,47424,1.0,1.0,0.00154,1.0,4992.3
45,1.0,0.1,33,100000,3017626791,45540,0.9,0.9,0.00046,1.0,4997.333333333333
50,0.0,0.0,33,100000,28881675020,63032,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
50,0.2,0.0,33,100000,7867063036,49568,1.0,0.8333333333333334,1.0,0.9992405771613574,161.2
50,0.4,0.0,33,100000,5898805610,46116,1.0,0.8333333333333334,1.0,0.9995601935148535,88.9
50,0.6,0.0,33,100000,5917180238,47688,1.0,0.8333333333333334,1.0,0.9996201443451489,20.6
50,0.8,0.0,33,100000,5746598526,51172,1.0,0.8333333333333334,1.0,0.9997800483893543,34.6
50,1.0,0.0,33,100000,5325187586,48760,1.0,0.9090909090909091,1.0,0.9997800483893543,8.0
50,0.0,0.02,33,100000,27679893088,61028,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
50,0.2,0.02,33,100000,5208061762,51856,1.0,0.9090909090909091,0.64576,0.9992572418915573,1771.1
50,0.4,0.02,33,100000,5286961624,47872,1.0,0.8333333333333334,0.50574,0.9994466621872653,2371.1
50,0.6,0.02,33,100000,4505285677,46240,1.0,1.0,0.38748,0.9996904024767802,3062.7
